post,ques,ans,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3,fin
Q: justin likes you.<br>A: good im glad he does  id be sad if my husband didnt like me  we would have to get a divorce.r i'd be sad if any of my friends didnt like me.,justin likes you., good im glad he does  id be sad if my husband didnt like me  we would have to get a divorce.r i'd be sad if any of my friends didnt like me.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: l<br>A: :),l, :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Leave Tabi alone  I know for a FACT she hasn&#39;t done anything to you. Pretty sure it&#39;s pathetic you&#39;re saying this shit anomalously because you don&#39;t have the balls to say it to her face. Who&#39;s fake now? Grow a pair and shut the hell up. We don&#39;t CARE.<br>A: <3 i love you jo,Leave Tabi alone  I know for a FACT she hasn&#39;t done anything to you. Pretty sure it&#39;s pathetic you&#39;re saying this shit anomalously because you don&#39;t have the balls to say it to her face. Who&#39;s fake now? Grow a pair and shut the hell up. We don&#39;t CARE., <3 i love you jo,Yes,6,Pretty sure it's pathetic you're saying this shit anomalously because you don't have the balls to say it to her face. Who's fake now? Grow a pair and shut the hell up. We don't CARE.,Yes,2,Leave Tabi alone; shut the hell up,Yes,1,you don't have the balls fake shut the hell up,Yes
Q: Leave Tabitha alone perverts. She&#39;s not the type of girl  where she just want sex. She&#39;s a sweet heart  so don&#39;t fucking mess with her.<br>A: :D your my hero<3 thankyou.r i love you husband.,Leave Tabitha alone perverts. She&#39;s not the type of girl  where she just want sex. She&#39;s a sweet heart  so don&#39;t fucking mess with her., :D your my hero<3 thankyou.r i love you husband.,No,0,n/a,Yes,5,"""she just want sex. She's a sweet heart",,,,invalid
Q: Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE!<br>A: okay  buy me a plane tickettttttttttttttttt  thankyou,Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE!, okay  buy me a plane tickettttttttttttttttt  thankyou,Yes,6,Leave Texas bitch!! No one here wants you!!,Yes,10,"""""""leave Texas bitch""""  """" no one wants you here""""   """" bitch""""""",Yes,6,"""bitch",Yes
Q: Let&#39;s get married?<br>A: awhh i would saw lets! but i have a husband d:,Let&#39;s get married?, awhh i would saw lets! but i have a husband d:,No,None,None,No,0,n/a,No,0,n/a,No
Q: lmao thanks for saying im pretty  come talk to me? :)<br>A: your welcome :) sureee,lmao thanks for saying im pretty  come talk to me? :), your welcome :) sureee,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?<br>A: exactly  ugh it makes me mad we went to effing school together and they dont belive it hahah oh welllllllllllll.r why yes yes i do  and i like lemon drops,LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?, exactly  ugh it makes me mad we went to effing school together and they dont belive it hahah oh welllllllllllll.r why yes yes i do  and i like lemon drops,No,0,N/A,Yes,2,thats low,No,0,n/a,invalid
Q: LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?<br>A: lmfao i no right. gosh its making me mad. yes  yes i do. haha i also like lemon drops XD,LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?, lmfao i no right. gosh its making me mad. yes  yes i do. haha i also like lemon drops XD,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: maryy me tabi<br>A: noooooooooooooo you dont have a name,maryy me tabi, noooooooooooooo you dont have a name,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Naw nee naw nee naww neee<br>A: SAMANTHA YOU WHORE,Naw nee naw nee naww neee, SAMANTHA YOU WHORE,Yes,5,SAMANTHA YOU WHORE,Yes,1,'SAMANTHA YOU WHORE',Yes,3,whore,Yes
Q: never mindVVV<br>A: okay ha,never mindVVV, okay ha,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: nice friends .. oh wait :/ srrrry my b<br>A: huh?,nice friends .. oh wait :/ srrrry my b, huh?,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: no  i mean LIKE LIKE<br>A: haha okay.r we are friends.,no  i mean LIKE LIKE, haha okay.r we are friends.,No,0,n/a,No,None,None,No,0,n/a,No
Q: No no no(: FUCK the people who are dicks to you you(; jk<br>A: hmmmm,No no no(: FUCK the people who are dicks to you you(; jk, hmmmm,Yes,1,"""Fuck",,,,,,,invalid
Q: No. It&#39;s not Pryce<br>A: oh sorry it was jack  im not use to hime actually talking to me like im a human.,No. It&#39;s not Pryce, oh sorry it was jack  im not use to hime actually talking to me like im a human.,No,0,n/a,No,0,n/a,No,0,N/A,No
Q: Nuu-uhh! When!<br>A: mmmmmm it was awhile ago like idk really. haha but he kept textin me offa dk phone likeeeee 3 weeks ago maybe  buhh dont worry it was just friendly friend stuff haha :) i member how you guys ment ;D,Nuu-uhh! When!, mmmmmm it was awhile ago like idk really. haha but he kept textin me offa dk phone likeeeee 3 weeks ago maybe  buhh dont worry it was just friendly friend stuff haha :) i member how you guys ment ;D,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: oh well you should really watch jar squatter sick video sick as in holy shit i cant believe he did that... i dare you to watch it and not look away are you up to the challenge?<br>A: haha no im not lmao,oh well you should really watch jar squatter sick video sick as in holy shit i cant believe he did that... i dare you to watch it and not look away are you up to the challenge?, haha no im not lmao,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Oh wow haha i just read that  guy/girl&#39;s(?) poem Love how my name is in it i feel honored jk<br>A: hahahahahaahaha is this dakota silvey?,Oh wow haha i just read that  guy/girl&#39;s(?) poem Love how my name is in it i feel honored jk, hahahahahaahaha is this dakota silvey?,No,0,None,No,0,n/a,No,0,N/A,No
Q: OH YEAH  Love Jo (: <3<br>A: <3 hahahahhahah thakssssssssssssss,OH YEAH  Love Jo (: <3, <3 hahahahhahah thakssssssssssssss,No,0,n/a,No,0,n/a,No,0,None,No
Q: Okay so I am pretty much ridiculously jealous of you. You&#39;re so pretty!<br>A: hahahha thank you :),Okay so I am pretty much ridiculously jealous of you. You&#39;re so pretty!, hahahha thank you :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: OKAY. i was kidding down there lol. but 2 the other ppl that are being serious..SCREW-YOUR-SELFS. shes sooo pretty and you dont need 2 be sittinghere being mean to my friend!! your just jealous ur not as pretty as her (: <3 you tabi!!<br>A: awhhh thank you jordy.. :),OKAY. i was kidding down there lol. but 2 the other ppl that are being serious..SCREW-YOUR-SELFS. shes sooo pretty and you dont need 2 be sittinghere being mean to my friend!! your just jealous ur not as pretty as her (: <3 you tabi!!, awhhh thank you jordy.. :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Okeyyy honestly now I think this stupid person is just making up stuff cause she/he wont send you the link. Probably just trying to create drama and such. Maybe trying to make you worry? I dunno. Butttt anyways I love you TabiLou (;<3<br>A: haha yeah probably.,Okeyyy honestly now I think this stupid person is just making up stuff cause she/he wont send you the link. Probably just trying to create drama and such. Maybe trying to make you worry? I dunno. Butttt anyways I love you TabiLou (;<3, haha yeah probably.,No,None,None,No,0,n/a,No,0,n/a,No
Q: Omg all these Texans are so sensitive!<br>A: lmao i no hahahahahhahahahahahaha thats what im sayin,Omg all these Texans are so sensitive!, lmao i no hahahahahhahahahahahaha thats what im sayin,No,0,N/A,No,0,n/a,No,0,n/a,No
Q: People actually remembering you mentioning male attention specifially; &quot;Six flags blah blah&quot; and what not is kind of creeeeepy! And I sense major jealousy. I guess boys don&#39;t flirt with them? Pathetic. --Sam<br>A: hahahaha true lady goo goo,People actually remembering you mentioning male attention specifially; &quot;Six flags blah blah&quot; and what not is kind of creeeeepy! And I sense major jealousy. I guess boys don&#39;t flirt with them? Pathetic. --Sam, hahahaha true lady goo goo,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: people you really dont have anythng better todo with yr lives thn mess with tabi?follow these steps.1:shut up 2:getalife 3:stop telling tabi shes a fake and that shes ugly 4:realize that the only reason you are mean is because your insecure!!falloffacliff<br>A: hhahahahahha thankyou :) LOCKERBUDDIESFORLIFE.,people you really dont have anythng better todo with yr lives thn mess with tabi?follow these steps.1:shut up 2:getalife 3:stop telling tabi shes a fake and that shes ugly 4:realize that the only reason you are mean is because your insecure!!falloffacliff, hhahahahahha thankyou :) LOCKERBUDDIESFORLIFE.,No,0,n/a,Yes,4,1. shut up: get a life 3: stop telling tabi shes a fake and that shes ugly 4: realize that the reason you are mean is because your insecure,No,0,n/a,invalid
Q: pokemon yes or no?<br>A: yesss,pokemon yes or no?, yesss,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Quit being mean to me and I will be happy!!!!!!!!!!!!!!!<br>A: jack  im not being mean. im simply not going to do that.,Quit being mean to me and I will be happy!!!!!!!!!!!!!!!, jack  im not being mean. im simply not going to do that.,No,0,n/a,No,0,N/A,No,1,Quit being mean to me,No
Q: quit fishing for compliment and saying your ugly  it&#39;s so annoying<br>A: wellll  im not fishing for any  your annoying  go do something else than be rude to me.,quit fishing for compliment and saying your ugly  it&#39;s so annoying, wellll  im not fishing for any  your annoying  go do something else than be rude to me.,Yes,1,"""our annoying",,,,,,,invalid
Q: Quit trying to make everyone feel sorry for you<br>A: hahaha okay? i dont hah,Quit trying to make everyone feel sorry for you, hahaha okay? i dont hah,No,0,n/a,No,0,N/A,No,0,n/a,No
Q: r Has anybody ever told you that &quot;you could do so much better&quot; about a person?<br>A: yeah... even though i really couldnt.,r Has anybody ever told you that &quot;you could do so much better&quot; about a person?, yeah... even though i really couldnt.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: r u g00d at art<br>A: ummmm  people tell me i am. but i dont really show alot of people my stuff.,r u g00d at art, ummmm  people tell me i am. but i dont really show alot of people my stuff.,No,0,n/a,No,0,n/a,No,0,N/A,No
Q: r u in love with someone anonymously?<br>A: what?,r u in love with someone anonymously?, what?,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: r Who&#39;s the biggest douche bag that you know?<br>A: you.,r Who&#39;s the biggest douche bag that you know?, you.,No,0,n/a,Yes,4,douche bag,Yes,4,douchebag,invalid
Q: Really? Because i know many people who dont like you. Most of them claim to be your friend. Sooooo  stfu :)<br>A: hahaha why are you telling me to stfu when you wasted your time writeing that? lmao okkkaaayy jordin.,Really? Because i know many people who dont like you. Most of them claim to be your friend. Sooooo  stfu :), hahaha why are you telling me to stfu when you wasted your time writeing that? lmao okkkaaayy jordin.,Yes,1,"""Because i know many people who dont like you. Most of them claim to be your friend. Sooooo",,,,,,,invalid
Q: Say there is a man standing in front of you with $1 000 000 and he says &quot;To have this money all you gotta do is give me a blow job that lasts at least 10 minutes.&quot;  Do you give the guy a $1 000 000 blow job or not?<br>A: stfu,Say there is a man standing in front of you with $1 000 000 and he says &quot;To have this money all you gotta do is give me a blow job that lasts at least 10 minutes.&quot;  Do you give the guy a $1 000 000 blow job or not?, stfu,No,0,n/a,Yes,2,"""Say there is a man standing in front of you with $1",,,,invalid
Q: Screw the people who are dicks to you. :D<br>A: :) amen! haha,Screw the people who are dicks to you. :D, :) amen! haha,Yes,1,dicks to you,No,0,n/a,No,0,n/a,invalid
Q: Seriously  leave Tabi alone. WTF VVVVV<br>A: exactly lmao  and i no who said that and he/she does it all the time  ill text you who  :),Seriously  leave Tabi alone. WTF VVVVV, exactly lmao  and i no who said that and he/she does it all the time  ill text you who  :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne!<br>A: hahahahha :),She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne!, hahahahha :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: She isn&#39;t bulmic! I made her really upset! If you want to talk shit to her  PLEASE shit talk me  instead of Tabi. So please leave her alone D:<<br>A: :)thanks.,She isn&#39;t bulmic! I made her really upset! If you want to talk shit to her  PLEASE shit talk me  instead of Tabi. So please leave her alone D:<, :)thanks.,Yes,7,"""She isn't bulmic. If you want to talk shit to her",,,,,,,invalid
Q: sing?<br>A: in the shower,sing?, in the shower,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Snobby small minded people live everywhere ... you can be that way .. i can be that way ... its not just in Texas ... soo yeahhh<br>A: okay  cool.,Snobby small minded people live everywhere ... you can be that way .. i can be that way ... its not just in Texas ... soo yeahhh, okay  cool.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: so  if the sexiest man alive were to rape you  would you enjoy it?<br>A: cant rape the willing.,so  if the sexiest man alive were to rape you  would you enjoy it?, cant rape the willing.,No,0,n/a,Yes,3,rape,No,0,n/a,invalid
Q: so i just hadda say this<br>A: ever since jordin albertsons like deleted her formspring or something  all the mean comments have stopped haha,so i just hadda say this, ever since jordin albertsons like deleted her formspring or something  all the mean comments have stopped haha,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: so i make you mad? well maybe you could find my histery book for me and cool off with some reading(:<br>A: sorry i think you left the book in the stands  get the joke right if your going to take it love :),so i make you mad? well maybe you could find my histery book for me and cool off with some reading(:, sorry i think you left the book in the stands  get the joke right if your going to take it love :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Someone still needs to read someone one her poems >:(  (Smiley is not pleased)<br>A: hahahahahah is this dakota? ill read you one soooon,Someone still needs to read someone one her poems >:(  (Smiley is not pleased), hahahahahah is this dakota? ill read you one soooon,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Sometimes I wish you&#39;ll see how I&#39;m in love with you. And I&#39;m afraid to loose you  espcially you tell Dakota your poems but not me. I know we don&#39;t know eachother that long but we did loved eachother<br>A: well if this is who i think it is  you didnt ask to see my poems  and i wrote some for you and i showed you and you didnt care much,Sometimes I wish you&#39;ll see how I&#39;m in love with you. And I&#39;m afraid to loose you  espcially you tell Dakota your poems but not me. I know we don&#39;t know eachother that long but we did loved eachother, well if this is who i think it is  you didnt ask to see my poems  and i wrote some for you and i showed you and you didnt care much,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Sounds like an AMAZING plan :D CAN&#39;T WAIT<3<br>A: haha good me eitherrrrrr.,Sounds like an AMAZING plan :D CAN&#39;T WAIT<3, haha good me eitherrrrrr.,No,0,n/a,No,0,N/A,No,0,n/a,No
Q: Speechless... that&#39;s all I got to say couldnt think of anything to say oh ya and you still need to read me your published poem that way when your famous I can say &quot;ya I knew she was a good writer before she became famous&quot; ;)<br>A: :D hahahahahahahah,Speechless... that&#39;s all I got to say couldnt think of anything to say oh ya and you still need to read me your published poem that way when your famous I can say &quot;ya I knew she was a good writer before she became famous&quot; ;), :D hahahahahahahah,No,0,None,No,0,n/a,No,0,n/a,No
Q: Starbucks guy &quot;It&#39;s ten o clock we are closing&quot;  My Mom &quot;You&#39;re kicking us out&quot;<br>A: great times  lmao he spelled your name so.....WRONG lmao.,Starbucks guy &quot;It&#39;s ten o clock we are closing&quot;  My Mom &quot;You&#39;re kicking us out&quot;, great times  lmao he spelled your name so.....WRONG lmao.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Stop Calling Tabi &quot;Fake&quot; Obviously Your The Fake Bitch That Don&#39;t Have A Life I Don&#39;t Know Tabi But She Seems Like A Nice Person.<br>A: HAHAHAHAH thankyou  im pretty sure that the anominous person get the picture now :) ha  now i just wanna find out who cheyenne is >.<,Stop Calling Tabi &quot;Fake&quot; Obviously Your The Fake Bitch That Don&#39;t Have A Life I Don&#39;t Know Tabi But She Seems Like A Nice Person., HAHAHAHAH thankyou  im pretty sure that the anominous person get the picture now :) ha  now i just wanna find out who cheyenne is >.<,Yes,7,"""""""Stop Calling Tabi """"Fake"""" Obviously Your The Fake Bitch That Don't Have A Life""""""",Yes,5,Fake bitch that don't have a life,Yes,3,Fake Bitch,Yes
Q: Stop! Leave Tabitha ALONE  she&#39;s NOT those type of girls that you can just fuck with. She just wants someone to LOVE her  and I for one aboustly love her<br>A: i love you to :)r thanks people are lameee,Stop! Leave Tabitha ALONE  she&#39;s NOT those type of girls that you can just fuck with. She just wants someone to LOVE her  and I for one aboustly love her, i love you to :)r thanks people are lameee,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi  all those people who are talking shit on your formspring ANONYMOUSLY need to grow a pair. If they&#39;re gonna hate on you anonymously then they obviously have no life. Grow up  stop trying to start shit with her on the internet. I love you Tabi (:<br>A: :D awhhh thankyou  your the best :)r loveyouto:D,Tabi  all those people who are talking shit on your formspring ANONYMOUSLY need to grow a pair. If they&#39;re gonna hate on you anonymously then they obviously have no life. Grow up  stop trying to start shit with her on the internet. I love you Tabi (:, :D awhhh thankyou  your the best :)r loveyouto:D,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi  I love you. (: I will meet you one day (;<br>A: :) i lovwe you to  :) we will meet haha me jo and you could go to grannys??????????????,Tabi  I love you. (: I will meet you one day (;, :) i lovwe you to  :) we will meet haha me jo and you could go to grannys??????????????,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi  now what&#39;s going on? D: Text me. (:<br>A: hahahaha its nothing :) really. its okay.,Tabi  now what&#39;s going on? D: Text me. (:, hahahaha its nothing :) really. its okay.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi  text me?<br>A: suree might be a bit cuz im on thaaa phone,Tabi  text me?, suree might be a bit cuz im on thaaa phone,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: TABI AND EVERYONE ELSE SHUT UP YOU&#39;RE BEAUTIFUL- sam<br>A: hahahaha thanks i think? did you call me beautiful? thats a first <3,TABI AND EVERYONE ELSE SHUT UP YOU&#39;RE BEAUTIFUL- sam, hahahaha thanks i think? did you call me beautiful? thats a first <3,No,0,N/A,No,0,n/a,No,0,n/a,No
Q: tabi i feel so bad about these bitchy girls who keep on saying shit to you on here  if they even knew you they would no you are the most moddest girl i have ever met.<br>A: awhhhh thank you sooo much!!! idk why people keep saying that i think im so pretty haha because i think im nothing special and then it brings me to the im fishing for compliments when im litterally not. idk who commented that  but thanks all these people need to get a life and stay out of mine because they obliously do not no me.,tabi i feel so bad about these bitchy girls who keep on saying shit to you on here  if they even knew you they would no you are the most moddest girl i have ever met., awhhhh thank you sooo much!!! idk why people keep saying that i think im so pretty haha because i think im nothing special and then it brings me to the im fishing for compliments when im litterally not. idk who commented that  but thanks all these people need to get a life and stay out of mine because they obliously do not no me.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: tabi i think your the best but you push me away from being your friend because i did something wrong and i hate myself everyday and ive always regreted it happaneing i dont know if you know who i am but i want you too know i wish that never happened<br>A: well i think i no who this is.,tabi i think your the best but you push me away from being your friend because i did something wrong and i hate myself everyday and ive always regreted it happaneing i dont know if you know who i am but i want you too know i wish that never happened, well i think i no who this is.,No,0,None,No,0,n/a,No,0,n/a,No
Q: Tabi is real!!! i knew her when she lived in Idaho!-Kinly<br>A: hahaha thanksssss kinnn,Tabi is real!!! i knew her when she lived in Idaho!-Kinly, hahaha thanksssss kinnn,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi isn&#39;t fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:<br>A: <3 thankyouuuuuuuuuuuuuuuuu!!!!!!!!!!!!!!!!!!,Tabi isn&#39;t fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:, <3 thankyouuuuuuuuuuuuuuuuu!!!!!!!!!!!!!!!!!!,Yes,2,I will beat your ass,Yes,8,I will beat your ass,Yes,1,I will beat your ass.,Yes
Q: Tabi Rocks My Socks(: Looooove Youuu ((Nahh Homoo))<br>A: hahahahahahahaha <3 you,Tabi Rocks My Socks(: Looooove Youuu ((Nahh Homoo)), hahahahahahahaha <3 you,No,0,n/a,No,0,n/a,Yes,3,Homoo,invalid
Q: tabi what makes you think it was me?! come back to IF you know you want to<br>A: i do want to.. :) but who is this hahahahah,tabi what makes you think it was me?! come back to IF you know you want to, i do want to.. :) but who is this hahahahah,No,0,n/a,No,0,n/a,No,0,N/A,No
Q: Tabi you are so pretty :) just wanted to say that haha<br>A: haha thankyou :) omg people are being sooo nice to me haha thats sooo nice!,Tabi you are so pretty :) just wanted to say that haha, haha thankyou :) omg people are being sooo nice to me haha thats sooo nice!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: TABI your a babeeee look at you its like woah! giggidy answer this question tabi is such a hot chick that she burns anyone she gets close to your hot tabi HOT HOT HOT!!!<br>A: hahahahah ummmmmmm thank you? if this is eric  i will kill myself  who is this?????????????????r but hahahhahahahhahahah this made me laugh sooooo hard.,TABI your a babeeee look at you its like woah! giggidy answer this question tabi is such a hot chick that she burns anyone she gets close to your hot tabi HOT HOT HOT!!!, hahahahah ummmmmmm thank you? if this is eric  i will kill myself  who is this?????????????????r but hahahhahahahhahahah this made me laugh sooooo hard.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: tabi! you&#39;re hittin&#39; on my bestttt friend! WTF. whooo cares  i love you. :)<br>A: hahahahaha >:) im evil mwahahahahahahahahaha,tabi! you&#39;re hittin&#39; on my bestttt friend! WTF. whooo cares  i love you. :), hahahahaha >:) im evil mwahahahahahahahahaha,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi&#39;s a ninja :D and I&#39;m a ninja star you spin me round and round. Lol being anonymous hides my shame for making that lame pickup line :)<br>A: hahahahahahahhahahahahahahahahahahhahahahahahahahahahahaahahhahaahhahahaahahahaaaaaa!!!!!!!!,Tabi&#39;s a ninja :D and I&#39;m a ninja star you spin me round and round. Lol being anonymous hides my shame for making that lame pickup line :), hahahahahahahhahahahahahahahahahahhahahahahahahahahahahaahahhahaahhahahaahahahaaaaaa!!!!!!!!,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi. If you stopped hating on Texas everyone from Texas will stop getting pissed....so just stop.? It&#39;s that easy<br>A: ummmm jack screw you  not my fault people get mad about a stupid state. and also its a inside joke so every one is lame.,Tabi. If you stopped hating on Texas everyone from Texas will stop getting pissed....so just stop.? It&#39;s that easy, ummmm jack screw you  not my fault people get mad about a stupid state. and also its a inside joke so every one is lame.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabi. You know I like u  but I&#39;m starting to get that u don&#39;t like me. I like you alot. Justin boy is just some crush  while I&#39;m open right here ready to love u. Pryce<br>A: ugh.. r well  okay cool that you like me thanks. but being rude doesnt help anything nor is it going to get me to like you. sorry if that sounds mean.,Tabi. You know I like u  but I&#39;m starting to get that u don&#39;t like me. I like you alot. Justin boy is just some crush  while I&#39;m open right here ready to love u. Pryce, ugh.. r well  okay cool that you like me thanks. but being rude doesnt help anything nor is it going to get me to like you. sorry if that sounds mean.,No,0,N/A,No,0,n/a,No,0,n/a,No
Q: TABIAHHHH...<br>A: ammmmmbbaaaaaa,TABIAHHHH..., ammmmmbbaaaaaa,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabigale<br>A: jack.,Tabigale, jack.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabitha  I love you. Please come into my life and love me. You are my life  it kills me that you don&#39;t love me back :(<br>A: hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,Tabitha  I love you. Please come into my life and love me. You are my life  it kills me that you don&#39;t love me back :(, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,No,0,n/a,No,0,N/A,No,0,n/a,No
Q: Tabitha  ISNT a fake.people steal her pictures and put it on photobucket maybe. But she is the ONLY real deal. Keep accusing her she&#39;s fake  then get off her formspring. She knows who she is. So fuck off<br>A: amen  <3,Tabitha  ISNT a fake.people steal her pictures and put it on photobucket maybe. But she is the ONLY real deal. Keep accusing her she&#39;s fake  then get off her formspring. She knows who she is. So fuck off, amen  <3,Yes,2,So fuck off,Yes,4,None,No,0,N/a,invalid
Q: Tabitha Jai Locascio I love you sooo much <3<br>A: okay,Tabitha Jai Locascio I love you sooo much <3, okay,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Tabithaaaaaa I love youuuuuuuuuuuuuu <3<br>A: :D i love you to<3,Tabithaaaaaa I love youuuuuuuuuuuuuu <3, :D i love you to<3,No,None,None,No,0,N/A,No,0,n/a,No
Q: tabither youd be good at this.. do you grind you know what grinding dancing is? at the shilo?<br>A: hahah yeah i no what that is  but i dont live in if anymore to go to the shilo,tabither youd be good at this.. do you grind you know what grinding dancing is? at the shilo?, hahah yeah i no what that is  but i dont live in if anymore to go to the shilo,Yes,7,you know what grinding dancing is,No,0,n/a,No,0,n/a,invalid
Q: tell me this bra why is you so awsomeeeeeee?? you is the best love youu<br>A: hahahahahahahahahahahahahhahaha love you to :),tell me this bra why is you so awsomeeeeeee?? you is the best love youu, hahahahahahahahahahahahahhahaha love you to :),No,0,n/a,No,0,n/a,No,0,N/A,No
Q: Texas is the best state(: Everything is bigger AND better in Texas!!! Bahah<br>A: hhahahaha okay :) nice opinion.,Texas is the best state(: Everything is bigger AND better in Texas!!! Bahah, hhahahaha okay :) nice opinion.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: text me(:<br>A: you text mee,text me(:, you text mee,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Text me?<br>A: you text me? haha,Text me?, you text me? haha,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Thanks :)<br>A: yeppp,Thanks :), yeppp,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: thanks alot hahaha<br>A: hahah your welcome.,thanks alot hahaha, hahah your welcome.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: Thanks for ditching me on IM on facebook<br>A: sorrrrrrrrrrry.,Thanks for ditching me on IM on facebook, sorrrrrrrrrrry.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: thanks! so are you! :D<br>A: hahah thankyou :),thanks! so are you! :D, hahah thankyou :),No,0,n/a,No,0,n/a,No,0,n/a,No
Q: that &#39;&#39;chelsea&#39;&#39; girl people were acusing me of fakeing <br>A: i finally got her url- www.myyearbook.com/cheyesexx but my friend justin got it deleted for me :) soooo just sayin  im real :) and that girl was fake.,that &#39;&#39;chelsea&#39;&#39; girl people were acusing me of fakeing , i finally got her url- www.myyearbook.com/cheyesexx but my friend justin got it deleted for me :) soooo just sayin  im real :) and that girl was fake.,No,0,n/a,No,0,n/a,Yes,2,"""that ''chelsea'' girl people were acusing me of fakeing",invalid
Q: That person VV isn&#39;t daydrien is it?!?!?<br>A: hahahahahahahahahahahahahahahahahahaha nopeee not at the moment. hahaha he was saying stuff like that earlyerr.,That person VV isn&#39;t daydrien is it?!?!?, hahahahahahahahahahahahahahahahahahaha nopeee not at the moment. hahaha he was saying stuff like that earlyerr.,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: That wasn&#39;t me<br>A: hmmmmmmmmmmmmmmm,That wasn&#39;t me, hmmmmmmmmmmmmmmm,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: That you&#39;re marriiieedddddd):<br>A: hahahahah yeah sorry :) he is my husband,That you&#39;re marriiieedddddd):, hahahahah yeah sorry :) he is my husband,No,0,n/a,No,0,n/a,No,0,n/a,No
Q: That&#39;s okay; I have Aidan(:<br>A: awhhh :) good,That&#39;s okay; I have Aidan(:, awhhh :) good,No,0,n/a,No,0,n/a,No,0,n/a,No
