"""@relation new_dataset""",
""" M33+ m3 @+ d@ m@ll 0n m0nd@y @nd !ll q!v3 yuh d@ b3$+ b3(ky 3v@ which mall bih""",0
""" My pu$$zzy !z +hrobb!nq fo yo d!ck t@ q0 !n d@+ $h!+ lol ima go deep""",0
""" N!GG@ YUH K!ND@ GOT DAT LIL WAYNE THANG GO!N 0N lol how""",0
""" N!qq@ @r3 yuh @ v!rq!n ? ! D0n&#39;+ +h!nk yuh !z no im not ya rite !!!""",0
""" N!qq@ wh@+ch@ +h!nk @b0u+ @ 3-$0m3 ? o ish im on dat but iStick yew lick""",0
""" N3qRO WUZZ YA NUMBER who diz?""",0
""" NAME ONE FEMALE YOU REALLY ENJOY TALKING TO AND BE HONEST ight well its kinda hard...idk well mi lil boo  mi boo  and mi ex.""",0
""" nigga dese hoes posed pikturesz of ya!!!!!r http://www.skeezy.com/videos/drew-and-axel-1704.html lmao""",0
""" nigga u fresh as fuck.! lol how ya kno""",0
""" NIGGGAH ISZ YUH CIRCUMSIZED kum luk bxtch""",1
""" o ok change the subject. well who u cause iam her cuzzin ohkay well im alix homeboi""",0
""" oh dhatss watss up ya digg""",0
""" Oh really(; ? And i cnt let alix see it i dont want himto knoww cause of something i cnt say or he ll know ya nd lmao o wow ohkay..So watz ya myspace""",0
""" Oh wow your tallllll!! And im like 5&#39;6  and i have a monroe piercing mhm o wow""",0
""" ohkay wht if shee didntt have an ass  butt she whud kuute  &amp; yall was feelin eachothuh .? den dats different if she kute but not to skinny""",0
""" ohkay.! yupz""",0
""" ohkayy ya so watz up nd y formspring changed""",0
""" Ok d3n. ! Don+ m!be d0!nq @ll d@ vv0rk d3n mhm""",0
""" OKAY ONEe QUeSTION. wHO Is yOUR lil BOO AND YOUR bOO...? lisha n jennie""",0
""" okayy. so how ya ben???""",0
""" oo i gotchu yeah. manee yupz yupz""",0
""" shan kinqst0n yo cuhz??? forrreal??? yes he is !!!""",0
""" so who do yhu think yhur inlovee wit ?? how bout diz who are yew in love wid....N bih idk ????""",0
""" sup e.a wuz guddie!!""",0
""" teehee du yuu luh mee?!?!<3 duh bestiee lol !!!""",0
""" U go to RMS? nope igO TO lakez""",0
""" U hopped on one of dese twu lol ya nigka""",0
""" u like somebody at lakes? ya damn skippy""",0
""" uhmm bestie... y dnt u evr get da braces?? ya teeth are fcked up??? Lmao who diz ? nd iDnt have all mi teeth so suk a big slab lol""",1
""" umm boy yhuew came on miy page   so who is yhuew ! lol wen iFirst made diz ish yew was lyke hi so im juz asking who diz?""",0
""" Uqhhh Iquess Yew Goht Hoess All Ova Youh.! Lmao lol im telling yew""",0
""" W3N YUH L0$T Y@ VIRGINITY! y ya wanna kno ??!""",0
""" W3N YUH W@NT M3 T0 G!V3 YUH BECKY??? anytyme""",0
""" watss ur email.? lilgego1youngg@yahoo.com""",0
""" What wood yuh do fo meh??? tell mi wat ya want mi tew do nd iWill work it out""",0
""" What&#39;s the oldest piece of clothing you still own and wear? mhm diz shirt iHad 5 yearz ago""",0
""" Whats yo fav position every one in da book""",0
""" where is my [-[your]-] id? lmao idk wea its at....haha""",0
""" who wass yhur valentinee ?? diz grul name kiya y?""",0
""" whuut youu up 2to ? follow me on dis shxt :) lol iDid""",0
""" WHY YEW GOT SUSPENDED kuz dea claimed iHit sum female wid a trash can""",0
""" Why you confused? kuz idk who diz is""",0
""" Why yuh only answered da one thng huh???""",0
""" Would yu ever even think abou goin out wit hannah fish or donna james? lmfao hell no iGet way better [[no offense]]""",0
""" wuld yuh go wit a white gurl .? ya damn rite she gota have ass n be kute ya feel mi[[THICK]]""",0
""" wutchu mean u tellin me?r naw iMean foreal""",0
""" y0 d!(k !$ l!K3 @ c0RND0q lol""",0
""" y0 d!(K !s$$$zz f3r0usi0s ya damn rite""",0
""" y0 d!(K !Z b33FY lol how ya kno????""",0
""" Y0 D!(K W0obbl3 !n y0ur p@n+$ ? does it wobble babi it be all ova da place""",0
""" y0 dick size is off da charts iKno bih""",0
""" y0 v@q!N@ sm3lL lykK c0tT@q3 (h33s3 iDnt have wtf get outa hea""",0
""" Y0u m@d3 d@ h03 0rq@$m @q@!n. F0r d@ dozenth t!m3 lmfao im telling yew""",0
""" yeash yew do lolss naw""",0
""" yew miss mhe lolss lol yupz""",0
""" You goin to lakes park saturday ?? Yea y?""",0
""" you look like sean kingston. Datz mi kuzo !!! [[ nd Im Not lien ]]""",0
""" yu tld me lmfao lykk yestadayy lie""",0
""" yua gt dat liil &amp;&amp;H.B.M. fwum me yua needa cool iiT lol no iDidnt lol hehe""",0
""" Yuh already know who i am. Yuh adedd me on myspace ? hold im confused""",0
""" Yuh d0n+ l!k3 m3? Who are yew??""",0
""" Yuh m@k3 d@ 53x m3+3r q0 vv!ld no komment""",0
""" Yuh myk a hoe orgasm! Oaaa hot as fukk. Ppl tellen me i look lyk khlou00e8 kardashian n ma boobs iz a 38C to D (:  if dhats what yuh want to have den im here. iLyke dat..Let mi meet yew""",0
""" Yuhz @ $3xy m0+h@fu(@. Yuh q0+ @ n!(3 d!(k yew neva seen mi dik nd lol thankz""",0
""" yuu kno yuu so lame? ndd yuu caint tlkk to that muchh qurls hav yuu seen yurselff hahahahahah noooo bxtch have yew seen yo self r ya ugly ass""",1
""" ....oats Skyla misses y""",0
""" Favorite candy ? :D Swedish fish &amp;&amp; reeeeses. YUM""",0
""" are you able to act like yourself around other people with your girlfriend Oh yess hahaha!((:""",0
""" Are you healthy enough? The Formspring Team tries to be. We like: www.icareformybody.info Sure""",0
""" are you loyal? Mmmhm!(:""",0
""" are you reliable? Mmmhm!""",0
""" can you take jokes? Of course I can(:""",0
""" Do u like Krista? Nope""",0
""" do u masterbate? I don t need to masterbate hahaaa that shit is nasty anyway.""",0
""" Do you consider yourself a good dancer? I jerk all day my nigg! :DDD""",0
""" do you cuss alot? Indeed(: Lol""",0
""" do you lie alot? Not at all!(:""",0
""" Do you like Dina? Who is this?""",0
""" do you like girls? hahah] Yes haha im not gayy silly (:""",0
""" do you like spongebob WHO DOESNT!!(:""",0
""" do you smoke or drink If I feel like I need to then yes.""",0
""" do you wear hats? Sometimes lol if im in the mood to wear one.""",0
""" dude make her lyk u again..shes hawt as fuck! do sumthin charmin..thts wat i do 2 muh girl I know its you dina im not dumb.""",0
""" FUCK YOU YOU SON  Mhm! By who? Haha don t be anonymous pussy.""",1
""" guess Dina?""",0
""" haha so many people are hating on your formspring. Juss krista as usual..""",0
""" hi! HI! Lol Who is this?""",0
""" How would you describe your personality? Uhm. Fun  Funny  Athletic  Outgoing  Creative  And awesome! (: Duhh lol""",0
""" i got a new phone today! Lucky you!! Hahaa these arent very good questions haha""",0
""" I wanna fuck you. Oh? Thank you!""",1
""" If you could be on the cover of any magazine  which would you choose? Play boiiiii lol jk I dunno? hah""",0
""" if you could be with anygirl in the whole world  who would that girl be? DINA!(:""",0
""" If you could go only to one restaurant for the next five years  which would it be? Denny s :DDD""",0
""" If you could wake up as anyone tomorrow  who would it be? Uhhmm. Myself(:""",0
""" If you had access to a time machine  where and when would be the first place you travel to? Disco time babyyyy hahahah :P""",0
""" If you won a million dollars what would you do with it? Give half to a cancer hospital to help the cancer kids :/ And then juss save the rest and spend it.""",0
""" lol ok now ur just straight up lying. faggot. Yahhhhhhhh cause you know my whole life right? Get off my formspring and stop asking anonymously pussy duecessss!""",1
""" Name 1 girl you find pretty. Uhmm. Dina  and dani""",0
""" name the hottest girl that you have ever met Lol you!(:""",0
""" No because then u will know who this is. Omg stop messaging me krista forreal.""",0
""" no matter how hard i try  i cant seem to get my mind off of you :/ please text meh. Uhhhhh? Who is this?""",0
###############################################################################################################################################################################################################################################################,1
###############################################################################################################################################################################################################################################################,0
""" Sean Stouffer lol VVV lol jk naw it wasn&#39;t me What are you talking about? Haha""",0
""" seriously take a wild guess! then message me on myspace or comment me or text me. we need to talkk. Is it dina?""",0
""" Sneakers or sandals? Vans sukka! (:""",0
###############################################################################################################################################################################################################################################################,0
""" the guy at lunch at ur table at school who u hang out with and talk to he is HOT Then talk to him lol""",0
""" This is not &quot;Krista&quot; for the last time I have no flippen idea who &quot;krista&quot; is Your fucking stupid!!! You didn t put your name as annonimus fucking retard!!! Fucking leave me alone stupid kunt dueces!!""",1
""" To bad u stopped talking 2 me. Cool byee""",0
""" what do u like most about me? Eyes? I guess...""",0
""" what do you look for in a girl? Eyes  Smile  Personality  And athletic(:""",0
""" What do you think about formspring.me so far? Some people make it gay as hell  but other than that it s prety chill.(:""",0
""" what do you usually wear? like to school? Vans  pants  and a shirt haha""",0
""" what dont you like about yourself? (and everyone hates something about themselves) My face :/""",0
""" what is your favorite color? GREEEEEEEEEEEEN(:""",0
""" what is your favorite season? Spring(:""",0
""" what is your favorite video game? Call of duty Modern Warfare 2(:""",0
""" what is your ideal date?r Like what do I want in a date er whaat?""",0
""" what was your longest relationship Like 2 in a half years? I think.""",0
""" What&#39;s your favorite genre of music? Uhmmm depends on the mood im in I guess haha""",0
""" when can you drive?(: March15th(:""",0
""" where would you take a girl on your one year anniversary Uhm.I would make it her night and she would get to go anywhere she wanted to go(:""",0
""" Where&#39;s your favorite place to buy clothes? Uhm.. Tilly s (:""",0
""" Who and when was your first kiss? Uhmm like 6th grade on a corner of a street. I was on my corner :O Lol jk and it was randi..""",0
""" Who do you like? Kylee.""",0
""" Who is the bestestt ? lol YUH AREEE!!!<3""",0
""" who is the love of your life? Honestly I don t know yet. I will find out in a few months(:""",0
""" who is your favorite superhero? SUPERMAN!!!((:""",0
""" Who&#39;s the most overrated actor? Uhm... That one lady ;D hahaha""",0
""" why do u have a new &quot;girlfriend&quot; like every single month?? I don t ive always liked kylee sooo get outta my bisnatch!!!""",0
""" would you date a girl with a pierced tongue or lip? Yes I would(:""",0
""" Would you rather be a famous musician or a famous actor? Uhm. Actor(: They get paied more haha""",0
""" Would you rather be really hot or really cold? Uhmm. Hard choice haha Probably hot!(:""",0
""" Would you rather be rich or famous? Famous! Duhh Haha that means I would be rich cause I am famous hah commen sense! ;D""",0
""" Would you rather date a lot of different people  or be in a committed relationship? Committed  I want to like one girl cause then I will know for sure that she is the one((: <3""",0
""" would you rather date a really ugly girl with lots of experience or a really pretty girl with no experiance. What kind of experience are you talking about? And pretty with no experience I guess?""",0
""" ya i know cuz i am letting you know who this is. r my name is Tatum Not &quot;krista&quot; Your fucking stupid like seriously mentally retarded stupid! Laterrrzzz""",1
""" yerr cutee! :] Oh ammmmm I? Lol Who is this?(;""",0
""" you should know who this is. just text me. Tell me who it is cause I really don t know?""",0
""" you teell me? just follow the directions i gave you. and you&#39;ll find out if its her or not. If you really wanna talk to me  you text me? Like for real don t be playing this game  just come out and say the fuck you are cause it s getting annoying.""",0
""" your cute(; Lol thank you dinaaa(:""",0
""" (: Tabitha Jai Locascio (: helllo :)""",0
""" *wear* ?mm""",0
""" -.- you&#39;re pictures aren&#39;t on photonucket.r I just checked. yeahhh me to  except i guess if they were i dont think they would be under my name or whatever  so idk how we would find them""",0
""" ...If you want to go back to Idaho so bad why dont you??? ... Texas doesnt want you here anymore than you want to be soo .. just leave!!! i would if i could. and texas is a state. if you want me gone so bad buy me a plane ticket hoe.""",1
""" :) hey i agree with her (V) you are really pretty! :D thankyou  your soo nice :)!!""",0
""" :| yep  and p.s. my phone died im lazy to charge it""",0
""" :D :)""",0
###############################################################################################################################################################################################################################################################,0
""" A^A^A^A^A^A^A^A^A^A cleverrrrrrrrrrrrrrr""",0
###############################################################################################################################################################################################################################################################,0
""" Aah  he seriously is! Butttt i guess thats okayy! I love him too. :) andd  yeahh; pretty muchh! no doubt about it. (: hahah yeah yeah :)""",0
""" Ahah. Tabitha my dad is lawyer so if these &quot;anonmous&quot; ever go to far just call my dad he&#39;ll put them in court :D :D hahahaha""",0
""" ahaha <3r yes ive noticed <3 :)""",0
""" Any thoughts of Justin? yep""",0
""" are bi?? no  im sorry :/ i like guyssss""",0
""" Are you a scene? nope. idk what i am haha""",0
""" Are you an introvert or an extrovert? huh??""",0
""" are you dateing a &#39;&#39;jaybee alxeander?&#39;&#39; hahaha im pretty sure he has a girlfriend  and even if he didnt there are sooo many pretty girls than me.""",0
""" are you dating &quot;jbatmann&quot; hahahahahah every one keeps asking this! but nopppeeee.""",0
""" Are you more of a talker or more of a listener? well im a really good listener im great at helping solve problems but im known to be a big talker""",0
""" are you only acting nice to people now because you have to stay at brock? ummm wtf? i still might go to weatherford and who was i ever mean to other than when i was standing up for myself?""",0
""" Are you the type who is in a new relationship every week?r nope  im actually very picky on who i date""",0
###############################################################################################################################################################################################################################################################,0
""" babydoll dearest  vv I accutally do like her as a friend!(: haha i like you to hahaha :)""",0
""" BACK OFF MY MAN.r Wait  what man?!r pshhhh. :) D: hhahah im not even talking to him?!""",0
""" Baha You guys fights online a hilarious! hahaha yeah i no right.""",0
""" Bahah  yeah i&#39;m totally just gonna&#39; get pissed at you for talking to you. Mhm  thats just how i am! ;D r Ha  noooot so muchh. hahahahahhaha ikr. :) but D: im not even talking to him hahahahahaahahahaha""",0
""" bahahaha noooo SIDE BURNS GUY! and thank you:D lmfao.r :)hahagreat""",0
""" Ballfuck  she&#39;s real. Get over it. vv THANKYOU! HAHA""",0
""" Ballfuck  she&#39;s real. Get over it. vv thankyou!!!""",1
""" bang him if all i care! just don&#39;t get aids or anything. :) Hahahah  just kidding! don&#39;t do that. hahahahah lmfao i laughed out loud. but IM NOT EVEN TALKINBTO HIM HAHAHAAHAHAHAHAHAAHAHAHAHAHAH""",0
""" because  you like him hahahahahaahahahahahahhhahaha r why does everyone think that?""",0
###############################################################################################################################################################################################################################################################,0
""" best day ever? probably my last week in idaho  i had alot of fun""",0
""" BESTFRIEND <3 :)""",0
""" COOKIES!!! are good  im in a cookie club :)""",0
""" did you watch the new degrassi? :3 haha  sometimes. :)""",0
""" do u wana be justins gf? im his wife :)""",0
###############################################################################################################################################################################################################################################################,0
""" Do you know I took my backround picture?(: sweeeeeeeeeeeet""",0
""" Do you know what big mouths are good for? eating oranges!!!!r CASSIE I LOVE YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!""",0
""" Do you lick dick? hahah WHAT???""",1
""" do you like like that &#39;&#39;jaybee alexander&#39;&#39;?? he is really cute.""",0
""" Do you like vampire weekend and if so favourite song? well it sorta depends on what mood im in  like i cant really choose favorites""",0
""" do you love justin? yesssssssssssssss :D""",0
""" Do you prefer Tupac the best singer in the WORLD i mean was he dead and who doesnt like lee never""",0
""" Do you think the last person you kissed cares for you? nope. probably not. haha""",0
###############################################################################################################################################################################################################################################################,1
""" dont you hate scarlett though? i dont hate her  i just dont like somethings she does  doesnt mean those jokes arnt ourss?""",0
""" Dude  she&#39;s not a fake  I&#39;ve met her in person and everything. haha thank you! haha""",0
###############################################################################################################################################################################################################################################################,0
""" Ey r u Cheyenne? I thought u live in Montana????? nope tabitha jai locascio idk who she is but she is a fake. :/ i use to live in idaho but i moved to texas""",0
###############################################################################################################################################################################################################################################################,1
""" Fakeeeeee???? nope  dont believe me add me on facebook and talk to my family  go to my myspace and look at my billions of pictures of me with friends  or my taggged pics""",0
""" Fave song? mmmmmmmmm idkkkkkk i cant choose. possible something from mayday parade or plug in stereo""",0
""" friends or god? friends""",0
""" GASP. He told me): I could cry. haha what?""",0
""" gay or lesbians? straight sorry :)""",0
""" girl  your perfect. from your eyes  to your smile  your all i think about[: i loved you from the day we met. your life is amazing ~chris~ :) awhhhhhh <3 thankyou!""",0
""" God that was a fun night  I want to relive it...we danced in wall mart to betoven bahahaha hahaha yeah. that beard guy haha. we never saw him but still.r your a good dancer :D haha""",0
""" going to Idaho and go to see my Idaho friends is the same thing. So pick a different wish hmmmm  then to of never of moved  or to be happy.""",0
""" Haha  i knowww.r i was kiiddding! hahahaha okay good i was like D: ahhh""",0
""" Haha and we both sat in that chair in Starbucks and we were taking pictures and everyone was staring at us g-r-e-a-t.r it was a small chair  i was like sitting in your lap.""",0
""" haha i dont have a question just wanted to say hi(: well hi :)""",0
""" haha i love how in your bio you wrote &quot;Cyberbullying=jail&quot; <3 got it from you :)""",0
""" HAHA jk i love you tabi(: (i tried to scare you) hahahhaa. jordin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! rudeo did you say the other mean things to?""",0
###############################################################################################################################################################################################################################################################,0
""" Hahaha  someone said like the same thing to me VVVVV &#39;cause I&#39;m &quot;Married&quot; to Chris XD hahahahahahahahahahaha people these days""",0
""" Hahaha ohmyGod you are an actual jerk okay.""",1
""" hahahah  I love your Bio (; OH OH OH question.. WHY CAN&#39;T PEOPLE SPELL?! VV (: haha they are to small minded >:D""",0
""" Hahahah  okayy! good! &#39;cause likeee; &quot;he&#39;s in looove with audrey!&quot; hahah  jus&#39;sayin&#39;.(: Buttt  yeah yeah yeah; allll because of youu. :) hahahahahaha he is in love with everyone  hahaha i love that kid. i no i no im awesome ;)""",0
""" hahahahaaha the way you were them makes you appear that way. *wearr hmmm haha okay.r w/e""",0
""" have you ever had sex? ? no?""",0
""" Hello tabi which school is your favorite your old one or new one?? deffinatly my old one :) the poeple at my new one is kinda stuck up  and the school is to small for me""",0
""" hello:) hello :)""",0
""" Hey  hey Tabi. I guess you&#39;re not supposed to trust dead people! BHHAH :D hahahahahahahahahhahahaha lmao hahahahahah gosh i no!!!!!!!!!!!!!!!!""",0
""" hey!(: im justin hiiii im tabiiii""",0
""" heyy! haha hey""",0
###############################################################################################################################################################################################################################################################,0
""" hi  do you like nachos? looooooove them!""",0
""" Hi hi tabi how are you? I want to know who your best friend is? :) hi im good  how are you?r and ahhhh i have alot of best friends.r to many to name.""",0
""" Hi tabi how&#39;s life hey you  pretty okay.""",0
""" hi well  hello""",0
""" hi:D hi!!""",0
""" hmm  foohl  i said dont approve xD hahahahah lmao sorry i deleted it  but i thought you ent like you didnt aprove of it hahah""",0
""" Hmmm...i don&#39;t know. I want to. :D oh okaythats good""",0
""" Hoe okay  do you really have nothing better to do  and i know who this is because there are only a couple people who dont like me  soooo. probably just say it to my face  or ill just come talk to you :)""",1
""" How come there&#39;s a girl that has your pics? And she put up proof long time ago. In myyearbook.com hahahahahahahha lmfao I HAVE A MY YEAR BOOK. that was probably mine  i stopped useing it like forever ago.""",0
###############################################################################################################################################################################################################################################################,0
""" How has 2010 been for you lame""",0
""" How many languages do you speak? 2 :)""",0
""" how old are u ??? 14""",0
###############################################################################################################################################################################################################################################################,0
""" How would you describe your style? just me.""",0
""" How&#39;s having like no friend&#39;s ? hmm im not sure  i lll tell you when that happens. i have plenty.""",1
""" I accidentally just deleted the thing you just wrote to me D: SEND IT AGIIIINNNN hahahah what""",0
""" I can&#39;t believe through out our entire friendship you never told me you were fake D: haha im sorrry.. i was hopeing you wouldnt find out this way!!!""",0
""" i decided since its almost your unbirthday that im gunna send you a present :D yay.""",0
""" I didn&#39;t say the question after the one about texas!! I promise! And I was just joking around......because u strongly dislike texas!! hahahahha yeah yeah""",0
""" I don&#39;t know Tabitha in person): but Idc  I know deep down in my heart I&#39;ll love her for her <3 :) HAHAHA AWHHHHHHHHHHHHHHHHHH <3""",0
""" I dont know if the mean comments really stopped  i think you just stopped replying. and personaly i think that makes you the bigger person. you inspire me:) haha thanks.""",0
""" I fucking hope you move you bitch!!!! good thing your not even showing your name. and i did to you was say i didnt wanna go to brock?""",1
""" i get lost in your beautiful eyes awhhhh thanks  who is this?""",0
""" i know  i know  i know! :) :D""",0
""" i like how justin calls you tabitha hahahha i really love that hahaha :)""",0
""" I like your mustcha mmmmmkayyyyy""",0
""" i love my LDS. <3 i love you!!!!!!!!!!!! LDS""",0
""" I love you :( but I think you don&#39;t care about me anymore. D: well who is this?""",0
""" I love you like I love to sing. I love you like I love to swim at night. I love you like I love my kitties. I love you like how I love to day dream about you. Someday you&#39;ll realize I do love you  for now bffls I guess well i know who this is..""",0
""" i love you tabi    and i already know you never want to talk to me again but just know ill still always be here for you. thank you for everything<3 haha ummm your welcome..?""",0
""" i love you tabi your beautiful  and the &#39;&#39;people&#39;&#39; saying that is actually one persone hahahahahah so dont worry about it  you didnt even do anything in the first place :) hahaha yeah i know  and i figured""",0
""" i love you tabi!!! <3 (: :) awhh""",0
""" I love you tabi!!!! i love you to :D""",0
""" I love you Tabitha. I need you in my life. I can&#39;t be happy  knowing the girl I&#39;m in love with doesn&#39;t feel/want me</3 wellllllllllllllllll  who is this?""",0
""" i love you i love you to""",0
""" i miss you so much i just hate how i made you not like me but its my own fault im sorry i just had to say that yepppppppp""",0
""" i see you got a volleyball net. yep  stop useing our jokes""",0
""" i still think your hot thanks..""",0
""" i think u and jack should date!!!:) :) who is this? haha""",0
""" i wish u werre fake ummm?""",0
""" i wish you were bi or lezbian  your pretty :) hahahaha ummm  sorry?""",0
""" I&#39;ll send you the links. When I get on my laptop I&#39;m using my phone. She has a facebook  myspace  and my yearbook okay thankyou  your a great help.""",0
""" I&#39;m in love with you hmmmmmmmmmmmmmmmmmmmmmm""",0
""" i&#39;m jealous of jaybee hahah why?""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" If anyone hurts Tabi  i will come to where ever you are and hurt you  physically :D I love you Tabbbbbi. (: hahaha love you to :Dr remeber i got a camo shovel ;DDDr your the best.""",0
""" if you and jaybee got married and have kids i actually think  the kids would be cute. just saying. hahahaha thankyou.""",0
""" If you could ask George W. Bush one question what would it be? can you travel around the world in 80 days""",0
""" If you could ask God one question what would it be? why""",0
""" If you could be any celebrity for a day  who would you be? christofer drew  :) hahahar no doubt.""",0
""" If you could fix one thing about your life what would it be? i would probably make it so the people in my family were happy.""",0
""" If you could go on a road trip with any person  dead or alive  who would it be and where would you go? mclaine  idk.down the street""",0
""" If you could have a super power  what would it be? to read peoples minds""",0
""" If you could have an endless supply of any food  what would you get? cucumbers and viniger""",0
""" If you could instantly become fluent in another language  which language would you pick? italian  french  or better at sign language""",0
""" If you could know the future but not change it would you still want to know what it is? yes""",0
###############################################################################################################################################################################################################################################################,0
""" If you could only watch one TV show what would it be? the office 100%""",0
""" If you could rid the world of one thing  what would it be? alcohol.""",0
""" If you could wake up as anyone tomorrow  who would it be? christofer drew  or my sister""",0
""" If you had threee wishes what would they be 1. TO GO TO IDAHOr 2. TO GO SEE MY IDAHO FRIENDSr 3. TO MOVE TO IDAHO""",0
###############################################################################################################################################################################################################################################################,0
""" If you people really still think that Tabi&#39;s fake  go look at her dang MySpace. -.- hahahaahha i  know  myspace.com/tabiisaninja""",0
""" If you people really still think that Tabi&#39;s fake  go look at her dang MySpace. -.- hahahaahha i know  myspace.com/tabiisaninja""",0
""" If you were given a brand new yacht  what would you name it? a what?""",0
""" If you&#39;re from Africa why are you white? samanthaaaaaaaaaa""",0
""" im trying to be a gentle men so please dont make me ask again hey hey this is from skin and bones by romance on a rocket ship. i love that song""",0
""" It&#39;s fine  i think ima go though my eyes are getting heavy. But  text me when you&#39;re off. If I don&#39;t reply im asleep. okay :)""",0
""" its prolly not who you think it is.. i just wanted you to know what i thought :) well""",0
""" its prolly not who you think it is.. i just wanted you to know what i thought :) welll""",0
""" Jac...bahahaha lmao  i thought he spelled it some way messed up way. but lmao and you like i ll have 8says order8 and thats jack  j-a-c-k. then your mom-he knows how to spell jack. hahahahahaha""",0
""" just checking if your like a chomo or something ha. good thing you said ew. yeah good thing""",0
""" just so you know scarlett wasnt on when that was wrote. oh okay :) sorry.""",0
""" justin likes you. good im glad he does  id be sad if my husband didnt like me  we would have to get a divorce.r i d be sad if any of my friends didnt like me.""",0
""" l :)""",0
###############################################################################################################################################################################################################################################################,1
""" Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE! okay  buy me a plane tickettttttttttttttttt  thankyou""",1
""" Let&#39;s get married? awhh i would saw lets! but i have a husband d:""",0
""" lmao thanks for saying im pretty  come talk to me? :) your welcome :) sureee""",0
###############################################################################################################################################################################################################################################################,0
""" maryy me tabi noooooooooooooo you dont have a name""",0
""" Naw nee naw nee naww neee SAMANTHA YOU WHORE""",1
""" never mindVVV okay ha""",0
""" nice friends .. oh wait :/ srrrry my b huh?""",0
""" no  i mean LIKE LIKE haha okay.r we are friends.""",0
""" No. It&#39;s not Pryce oh sorry it was jack  im not use to hime actually talking to me like im a human.""",0
""" Nuu-uhh! When! mmmmmm it was awhile ago like idk really. haha but he kept textin me offa dk phone likeeeee 3 weeks ago maybe  buhh dont worry it was just friendly friend stuff haha :) i member how you guys ment ;D""",0
""" oh well you should really watch jar squatter sick video sick as in holy shit i cant believe he did that... i dare you to watch it and not look away are you up to the challenge? haha no im not lmao""",0
""" Oh wow haha i just read that  guy/girl&#39;s(?) poem Love how my name is in it i feel honored jk hahahahahaahaha is this dakota silvey?""",0
""" OH YEAH  Love Jo (: <3 <3 hahahahhahah thakssssssssssssss""",0
""" Okay so I am pretty much ridiculously jealous of you. You&#39;re so pretty! hahahha thank you :)""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" Omg all these Texans are so sensitive! lmao i no hahahahahhahahahahahaha thats what im sayin""",0
""" People actually remembering you mentioning male attention specifially; &quot;Six flags blah blah&quot; and what not is kind of creeeeepy! And I sense major jealousy. I guess boys don&#39;t flirt with them? Pathetic. --Sam hahahaha true lady goo goo""",0
""" pokemon yes or no? yesss""",0
""" Quit being mean to me and I will be happy!!!!!!!!!!!!!!! jack  im not being mean. im simply not going to do that.""",0
""" Quit trying to make everyone feel sorry for you hahaha okay? i dont hah""",0
""" r Has anybody ever told you that &quot;you could do so much better&quot; about a person? yeah... even though i really couldnt.""",0
""" r u g00d at art ummmm  people tell me i am. but i dont really show alot of people my stuff.""",0
""" r u in love with someone anonymously? what?""",0
""" Seriously  leave Tabi alone. WTF VVVVV exactly lmao  and i no who said that and he/she does it all the time  ill text you who  :)""",0
""" She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne! hahahahha :)""",0
""" sing? in the shower""",0
""" Snobby small minded people live everywhere ... you can be that way .. i can be that way ... its not just in Texas ... soo yeahhh okay  cool.""",0
""" so i just hadda say this ever since jordin albertsons like deleted her formspring or something  all the mean comments have stopped haha""",0
""" so i make you mad? well maybe you could find my histery book for me and cool off with some reading(: sorry i think you left the book in the stands  get the joke right if your going to take it love :)""",0
""" Someone still needs to read someone one her poems >:(  (Smiley is not pleased) hahahahahah is this dakota? ill read you one soooon""",0
###############################################################################################################################################################################################################################################################,0
""" Sounds like an AMAZING plan :D CAN&#39;T WAIT<3 haha good me eitherrrrrr.""",0
###############################################################################################################################################################################################################################################################,0
""" Starbucks guy &quot;It&#39;s ten o clock we are closing&quot;  My Mom &quot;You&#39;re kicking us out&quot; great times  lmao he spelled your name so.....WRONG lmao.""",0
###############################################################################################################################################################################################################################################################,1
""" Stop! Leave Tabitha ALONE  she&#39;s NOT those type of girls that you can just fuck with. She just wants someone to LOVE her  and I for one aboustly love her i love you to :)r thanks people are lameee""",0
###############################################################################################################################################################################################################################################################,0
""" Tabi  I love you. (: I will meet you one day (; :) i lovwe you to  :) we will meet haha me jo and you could go to grannys??????????????""",0
""" Tabi  now what&#39;s going on? D: Text me. (: hahahaha its nothing :) really. its okay.""",0
""" Tabi  text me? suree might be a bit cuz im on thaaa phone""",0
""" TABI AND EVERYONE ELSE SHUT UP YOU&#39;RE BEAUTIFUL- sam hahahaha thanks i think? did you call me beautiful? thats a first <3""",0
###############################################################################################################################################################################################################################################################,0
###############################################################################################################################################################################################################################################################,0
""" Tabi is real!!! i knew her when she lived in Idaho!-Kinly hahaha thanksssss kinnn""",0
""" Tabi isn&#39;t fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((: <3 thankyouuuuuuuuuuuuuuuuu!!!!!!!!!!!!!!!!!!""",1
